,DE,FR,IT,ES,NL,CH,UK,PL,SE,NO,BE,AT,PT,DK,FI,IE
2014-06-30,-0.49944858145017273,-0.3961031432430971,-0.5478647728878288,-0.31629950303906074,-0.3557357836814037,-0.14555585109743,-0.043777882240277524,-0.29809914271954163,-0.8062862955783958,-0.5061009737169175,-0.34210899783759874,-0.3730102419838687,-0.6328705390836905,-0.5610149600192176,-0.5725613289511249,-0.2008396731214218
2014-07-31,-0.7745772047487675,-0.7592671372251484,-0.8536942971408484,-0.2644732418292022,-0.6155503854613695,-0.46071623523649347,-0.4201044617347787,-0.5442087102159688,-1.1379284570432722,-0.8684646006550195,-0.5930850946868417,-0.6189432573571516,-0.354245160685156,-0.8843544616519298,-0.6034420230760607,-0.25443999861282346
2014-08-31,-1.1313515979081916,-1.2307637977120587,-1.271704214944457,-0.4663073483664957,-0.8367938100532647,-0.7968090102694733,-0.19860215286357139,-0.14176794168415183,-1.5554988603515763,-1.3336767593787953,-0.8543713538104681,-0.9094634037440622,-0.3142364033330488,-1.2235503278472717,-0.7627114394417477,-0.3841904395419769
2014-09-30,-1.1122822916677844,-1.3197754252381448,-1.0906740363959897,-0.8228743712859847,-0.8497296074008942,-0.5631572608645237,-0.45839944085942924,-0.2666022915723297,-0.8152196179981707,-0.4380093870963901,-0.7209865292645451,-0.9693056696465231,0.09701321715458242,-1.2312311473718978,-0.6238827082613162,-0.04121995450722637
2014-10-31,-1.1132854242806411,-1.2810880003371137,-1.0410053639542174,-0.5021702819106473,-0.8110749207625779,-0.5389756870933151,-0.04058890027587966,-0.05683651030411074,-0.6273173106685055,-0.36504915049560466,-0.6001879921117781,-0.9365480296686391,0.41296547069477507,-1.3030395920964937,-0.5930854527935728,-0.22332680532593557
2014-11-30,-1.0648242522292672,-1.2810880003371325,-0.9760693502125217,-0.41291222349934603,-0.7482744112417139,-0.688543718780217,-0.36561471393501155,-0.22956623046184715,-0.6421461587449181,-0.4335756985374076,-0.47067805616280267,-0.9655411359137985,0.6497568283182078,-1.2952006098456428,-0.6233841206902141,-0.36406224024821016
2014-12-31,0.31827847437562573,-1.1827821030137509,-0.9980667361366327,-0.4708565393961687,-0.5532109116893361,0.9883373688435971,0.4057165307196666,-0.20890310920352675,-0.03409083017023088,-0.2449871902953269,-0.7685766820077248,-0.8694832747126853,0.48474976529943864,-1.9558904787161506,0.41439203794497415,-0.6777743942819172
2015-01-31,0.08582057909954441,0.679522354587623,-0.8609363508341085,-0.9936068451890083,-0.5132234337594912,2.3066352843188076,0.5118826929642534,-0.5538420749070294,-0.10130149739951134,-0.21713135093842936,-0.17974693443608802,-0.4566720883292245,-0.15267001562069848,-0.8894481668768213,0.5672956632210255,-0.677774394281929
2015-02-28,0.2879087809631003,0.65408805024501,-0.6443479903999946,-0.5900685887728868,-0.2882870966136685,1.9204296643576666,0.1617395365211562,-0.4568408123807277,-0.18227724888667113,-0.12586184194891845,0.3923795293904705,-0.20487357108008716,-0.0039670436792183985,0.328234407658864,0.342083148845345,-0.521264622030249
2015-03-31,0.29444506610136495,0.6545516011602525,-0.6278577285464189,-0.5197573690795936,-0.318903855455687,1.9340061112114453,0.22095149168242428,-0.43321270666704337,-0.21601835275907053,-0.48863275190827116,0.3923795293904743,-0.16014667189571546,0.1250679719913511,0.26146373524064515,0.4253228884595172,-0.3941261785449176
2015-04-30,0.18768214502471367,0.6734201937705159,-0.6973972800087441,-0.5838318816178956,0.25870848762875465,1.9790050951407208,0.22602761210824374,-0.2015254908052128,-0.3980727841622988,-0.5853591395335346,0.10799167173729905,-0.10471072885797988,0.07184989451805905,0.26146373524064515,0.3162630788416536,-0.265380279091849
2015-05-31,-2.9664650981166174,-2.7505404474632447,-1.967993262078632,-1.7203712863277951,-2.565818629635867,2.0277376498706507,-0.18290415567802493,-0.8912690418168119,-2.4291190466491486,-0.5928940147362883,-3.0385424510286136,-2.3786377930715954,-0.7383323100804426,-0.9925772863531672,-2.5572615999448174,-2.3574543500432137
2015-06-30,-2.021905470557362,-1.759000051139932,-1.2838088047671914,-1.1926011990923302,-1.6609182386733432,1.6999547174299097,-0.16466728184834897,-0.5191888358428352,-1.6547383682187424,-0.2693420253447799,-1.8832095643333884,-1.7283108274992627,-0.5175680421566756,-0.6060189938658307,-1.6516075001838368,-1.5350226948944274
2015-07-31,-2.023617651352178,-1.740279176615507,-1.302794940803536,-1.2733874256761546,-1.641438355063346,1.589438973444216,-0.13903956588788266,-0.38666533237878753,-1.6652620122480941,-0.1198385346119393,-1.893452630354326,-1.5608742858124922,-0.8406536839757399,-0.529169378055235,-1.6449751192089608,-1.5415338303481676
2015-08-31,-2.0553745985017606,-1.733190291922197,-1.3132441467743339,-1.2865143349401598,-1.7051243808391234,1.5843253978499634,-0.11274823932798292,-0.5739933783699953,-1.830878318404052,-0.2821431072784387,-1.9606272778162308,-1.585561338887715,-0.8406536839757389,-0.48365658983894805,-1.6701269623796207,-1.562352243092963
2015-09-30,-1.8873973357851643,-1.6621953601245758,-1.0318618777804145,-1.053603996133068,-1.6101018897858264,1.6168574735861077,-0.20129789189087777,-0.36705083823896056,-1.5911828430332648,-0.2304929422387383,-1.826221055816077,-1.4852368730085739,-0.5870245867737027,-0.2607428058837628,-1.3368354820916262,-1.4320965499218703
2015-10-31,-1.8832997405747323,-1.67664776256456,-1.2285538926353294,-1.0162920170927947,-1.6072667684302613,1.279459500445098,-0.0323447073231774,-0.5462458389694775,-1.5153139105701978,-0.009941940305432932,-1.8104557610926422,-1.4849666533457957,-0.7628903762013144,-0.5639848970685921,-1.3363661191914793,-1.5600701681856797
2015-11-30,-1.7884489231621197,-1.5348311542109419,-1.2227787175478848,-0.9697681175904718,-1.5093623562877465,1.5245323662795984,0.2527023997758194,-0.3234409058185178,-1.086724438438553,0.31772757577662475,-1.7142001090109396,-1.385825636876122,-0.5417124663809075,-0.47104795641519775,-1.2264045929741036,-1.470766662748977
2015-12-31,-1.6486040921146237,-1.4653334324569474,-1.1210008476854227,-0.9415729750757696,-1.3564512031363705,0.7072080370885833,0.3912774586831688,-0.09991985067995772,-0.7354879925980634,0.39594513525915465,-1.551611407140547,-1.2325827758200028,-0.43935357217390897,-0.33595632197668923,-1.1285856954907736,-1.4152607534644672
2016-01-31,-1.8415970877316745,-1.8367925063724737,-1.1520756998514605,-0.8186924567815084,-1.7248225275231626,-0.3683503776219379,-0.518808525437015,-0.19214677069527414,-0.8043212009215029,-0.19048662926939922,-1.5969249149451814,-1.6506588869845344,-0.09314703897679275,-0.3449163090337781,-1.4414426514282175,-1.39227818629509
2016-02-29,-1.4217478207477985,-1.4735612862496603,-1.0056859944777323,-0.792115708783209,-1.2844472525259727,-0.7279928665038813,-0.3188789248547051,-0.1332973626053732,-0.6991835993806194,-0.1904866292693993,-1.5685924620349887,-1.3396581622312962,0.17941441212786854,-1.3100378886600514,-1.186544732665552,-1.3643496301269886
2016-03-31,-1.3324231148106611,-1.4702565304908792,-1.1235228295276203,-0.9482162588066088,-1.2569851854874274,-0.5552088993797132,-0.3504637762413584,-0.392736292384573,-0.5663916496723428,-0.5340705462328903,-1.5969249149451812,-1.340861669373278,-0.20720404413228605,-1.5166693847190642,-1.1012096442321524,-1.6960864200518253
2016-04-30,-1.2901295870498655,-1.395418514605775,-1.1170345638558896,-1.1061512441541588,-1.108025729293446,-0.42864355178327923,-0.22175922122969793,-0.3643521445530605,-0.7241386325042547,-0.43068287438331565,-1.596924914945179,-1.3390719683406447,-0.07360767861831698,-1.5197451399347686,-1.0935288582956246,-1.6205937745883814
2016-05-31,-0.5032066916849535,-1.2749564588823024,-1.0833808019003373,-1.340814192081001,-0.7948789216612031,-0.3994991651909238,0.25279274518322875,-0.07533905857907704,-0.23255674497694148,0.042713423094117076,-2.036092866312935,-1.4833789625426623,-0.27308409594517563,-0.9214992448281049,-0.8600830680654126,-2.05986187894773
2016-06-30,0.7207298436562505,0.7122124271872302,0.04985742798440374,0.7898786837944808,0.6149949157020814,-0.7641542542615398,0.1951613195920604,0.7286204165626459,0.1810482292744032,0.11735646865466773,-0.10420580809313902,0.8716846843585756,-0.3308970206419944,0.41018076442314344,0.031416672837011016,0.324520365810598
2016-07-31,0.5379377823548899,0.5426664102948174,0.08683069638017314,0.7868926722221505,0.3380570676625774,-0.6199855495254136,0.3021809274291326,0.4736058198801774,0.6578215601160853,0.01497393224917342,0.14656685815603623,0.4891815918846032,-0.32175622795098185,0.15228970063027408,-0.08755458448673731,0.9714353850000007
2016-08-31,0.7658054615233385,0.750400218697654,0.32541374516703886,0.7776566161815681,0.6105239812452277,-0.31192578455183273,0.20972983625037414,0.36550658416207604,0.8314462847273523,0.2693448538396936,0.45447536055420246,0.7543207334903836,-0.32913579651230873,0.35137919810861024,0.08410254435058112,1.3775345326399473
2016-09-30,0.7576311519640787,0.7096185710233642,0.30198009884984756,0.9016224143816348,0.5893004257206494,-0.4735660982344042,0.3347486734423414,0.43093056963775594,0.7662662133939222,0.08639655210569963,0.40192991512711596,0.6204013436943981,-0.14315303971278318,0.7849115370687566,0.6709099880454383,1.3775345326399977
